"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Business Licensing","Child Care Spaces","Inequality (Gini coeff.)","Access to Child Care","Low Income Families","Low Income Singles","Low Income Children","Family Income Category","Household Income Category"
"Islington-City Centre West",14.0,"N/A",2441.0,52812.0,2291.0,763.0,189.0,0.398129,0.318812,8990.0,1616.0,402.0,8990.0,13200.0
"Kingsway South",15.0,"N/A",49.0,2142.0,189.0,46.0,100.0,0.255849,0.1,2535.0,196.0,21.0,2525.0,3305.0
"Stonegate-Queensway",16.0,"N/A",1368.0,6029.0,605.0,329.0,215.0,0.3842,0.253333,6890.0,994.0,179.0,6895.0,10055.0
"Mimico",17.0,"N/A",2147.0,11586.0,635.0,281.0,147.0,0.405239,0.23662,6690.0,2374.0,348.0,6680.0,12525.0
"New Toronto",18.0,"N/A",1551.0,4398.0,342.0,148.0,90.0,0.43007,0.389189,2800.0,1103.0,160.0,2790.0,4815.0
"Long Branch",19.0,"N/A",1074.0,1546.0,168.0,105.0,69.0,0.390909,0.442105,2655.0,678.0,98.0,2655.0,4365.0
"Alderwood",20.0,"N/A",494.0,5432.0,312.0,128.0,120.0,0.353179,0.24,3300.0,457.0,121.0,3290.0,4535.0
"Humber Summit",21.0,"N/A",1527.0,18426.0,1342.0,398.0,60.0,0.399859,0.237931,3290.0,319.0,273.0,3290.0,3835.0
"Humbermede",22.0,"N/A",2432.0,6247.0,360.0,191.0,55.0,0.40476,0.250909,3795.0,611.0,580.0,3790.0,4600.0
"Pelmo Park-Humberlea",23.0,"N/A",689.0,2430.0,157.0,70.0,0.0,0.36107,0.365517,2350.0,313.0,143.0,2350.0,2935.0
"Black Creek",24.0,"N/A",6026.0,4199.0,343.0,93.0,175.0,0.417239,0.347982,5430.0,1422.0,1029.0,5440.0,7095.0
"Glenfield-Jane Heights",25.0,"N/A",6786.0,8455.0,631.0,185.0,173.0,0.416579,0.398077,7965.0,1594.0,1005.0,7955.0,9785.0
"Downsview-Roding-CFB",26.0,"N/A",5671.0,19053.0,965.0,419.0,163.0,0.40241,0.278022,8770.0,1577.0,779.0,8775.0,12055.0
"York University Heights",27.0,"N/A",3955.0,39667.0,2659.0,637.0,146.0,0.426959,0.325316,6665.0,2275.0,806.0,6675.0,9545.0
"Rustic",28.0,"N/A",2027.0,504.0,48.0,33.0,26.0,0.45925,0.344762,2760.0,573.0,526.0,2755.0,3595.0
"Maple Leaf",29.0,"N/A",924.0,668.0,50.0,61.0,90.0,0.39897,0.413793,2770.0,428.0,118.0,2770.0,3625.0
"Brookhaven-Amesbury",30.0,"N/A",3566.0,4713.0,429.0,153.0,54.0,0.410199,0.351678,4695.0,766.0,739.0,4690.0,6085.0
"Yorkdale-Glen Park",31.0,"N/A",1442.0,26409.0,1522.0,365.0,75.0,0.42677,0.258824,3815.0,942.0,316.0,3815.0,5425.0
"Englemount-Lawrence",32.0,"N/A",2509.0,3343.0,185.0,145.0,165.0,0.43457,0.25303,4945.0,1560.0,642.0,4935.0,8085.0
"Clanton Park",33.0,"N/A",674.0,5150.0,344.0,159.0,130.0,0.41694,0.241176,3630.0,955.0,171.0,3625.0,5350.0
"Bathurst Manor",34.0,"N/A",1032.0,3453.0,259.0,75.0,90.0,0.40893,0.32,3975.0,1142.0,205.0,3980.0,5820.0
"Westminster-Branson",35.0,"N/A",3220.0,3435.0,80.0,115.0,45.0,0.43298,0.358491,6935.0,1636.0,427.0,6930.0,9745.0
"Newtonbrook West",36.0,"N/A",2005.0,9170.0,507.0,225.0,76.0,0.40094,0.294737,5765.0,1204.0,274.0,5775.0,7565.0
"Willowdale West",37.0,"N/A",381.0,5466.0,326.0,132.0,173.0,0.418289,0.490909,3455.0,947.0,57.0,3460.0,5450.0
"Lansing-Westgate",38.0,"N/A",400.0,11338.0,476.0,158.0,65.0,0.37457,0.194444,4025.0,1003.0,191.0,4025.0,5975.0
"Bedford Park-Nortown",39.0,"N/A",385.0,7286.0,659.0,127.0,60.0,0.34876,0.135294,5650.0,1106.0,148.0,5640.0,8480.0
"St.Andrew-Windfields",40.0,"N/A",406.0,14376.0,630.0,103.0,100.0,0.320039,0.336,4865.0,416.0,126.0,4860.0,6315.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",16.0,12648.0,58.0,30.0,0.0,0.195639,0.08,2070.0,108.0,0.0,2070.0,2445.0
"Banbury-Don Mills",42.0,"N/A",888.0,24106.0,735.0,142.0,255.0,0.36829,0.302439,7090.0,913.0,193.0,7100.0,10950.0
